origin,dest,distance
-122.32679&47.6163559,-122.3261808&47.6163566,0.001501182256737
-122.3244833&47.6163584,-122.3235293&47.6163594,0.182425523806356
-122.3255382&47.6163572,-122.3244833&47.6163584,0.222700138825309
-122.3234327&47.6163758,-122.3233799&47.6163916,0.001501182256737
-122.3182109&47.6187653,-122.318221&47.6199326,0.924141819978757
-122.3265799&47.6192194,-122.325275&47.6192299,0.939913349825992
-122.3244363&47.6129814,-122.3244564&47.6139971,0.924141819978757
-122.3244833&47.6163584,-122.3245131&47.6177489,0.817574476193644
-122.3244711&47.6152366,-122.3244833&47.6163584,0.999664649869534
-122.32445825435614&47.61409202537363,-122.3244585&47.6141046,0.924141819978757
-122.3244585&47.6141046,-122.3244596&47.6142004,0.998498817743263
-122.3234501&47.6185503,-122.3234436&47.6198151,0.996827317157515
-122.3230638&47.619872,-122.3230847&47.6210649,0.817574476193644
-122.3265496&47.6196076,-122.3265522&47.6195706,0.880797077977882
-122.3265775&47.6208478,-122.3265592&47.6200344,0.817574476193644
-122.3265799&47.6192194,-122.3265932&47.6191935,0.222700138825309
-122.3270679&47.6169908,-122.3271303&47.6170446,0.029312230751356
-122.3239973&47.6196723,-122.3240121&47.6208478,0.994779874306441
-122.3239845&47.6185064,-122.3239919&47.6191829,0.970687769248644
-122.3195328&47.6187537,-122.3195342&47.6199225,0.952574126822433
-122.3268033&47.6152241,-122.3261678&47.6152275,0.998830489734944
-122.3244711&47.6152366,-122.3235248&47.6152416,0.999993855825398
-122.3255267&47.6152309,-122.325207&47.6152326,0.999993855825398
-122.322146&47.6152491,-122.3216181&47.6152519,0.998073265336672
-122.3234027&47.6152423,-122.322146&47.6152491,0.999983298578152
-122.3253012&47.6177485,-122.3246494&47.6177488,0.075858180021244
-122.325552&47.6177471,-122.3253012&47.6177485,0.017986209962092
-122.3245131&47.6177489,-122.3236866&47.6177546,0.731058578630005
-122.3262525&47.6177405,-122.325552&47.6177471,0.962673112655871
-122.3267649&47.6177467,-122.3262525&47.6177405,0.904650535100891
-122.3234548&47.6175708,-122.3221815&47.6175767,0.851952801968311
-122.3234004&47.6140923,-122.3233322&47.6140845,0.994779874306441
-122.3221283&47.6140814,-122.321457&47.614085,0.999964643749258
-122.31944928875677&47.614054213791135,-122.31945394714286&47.614089280067525,0.982013790037908
-122.3234164&47.6129861,-122.3234015&47.6130074,0.962673112655871
-122.32340008713119&47.61406645222317,-122.3234004&47.6140923,0.962673112655871
-122.3234027&47.6152423,-122.3234327&47.6163758,0.962673112655871
-122.3234327&47.6163758,-122.3234419&47.6168731,0.119202922022118
-122.3234628&47.6177557,-122.3234681&47.6181232,0.999738809680904
-122.3234548&47.6175708,-122.3234628&47.6177557,0.817574476193644
-122.3234004&47.6140923,-122.3234009&47.6141974,0.9999038975845
-122.3252772&47.619655,-122.3252245&47.6196716,0.222700138825309
-122.3265496&47.6196076,-122.326412&47.6196076,0.03732688734413
-122.3234501&47.6185503,-122.3230438&47.6187083,0.999995214905505
-122.3221995&47.618746,-122.3215406&47.6187479,0.999447221363076
-122.3239845&47.6185064,-122.3235969&47.6185102,0.999088948805599
-122.3252789&47.6184985,-122.3246529&47.6185023,0.998498817743263
-122.3252772&47.619655,-122.3252786&47.6199283,0.022977369910026
-122.325275&47.6192299,-122.3252772&47.619655,0.222700138825309
-122.3252735&47.6189355,-122.325275&47.6192299,0.989013057369407
-122.325496&47.6129851,-122.32551682824823&47.614088997155925,0.851952801968311
-122.3255267&47.6152309,-122.3255382&47.6163572,0.851952801968311
-122.3255382&47.6163572,-122.325552&47.6177471,0.001926734663327
-122.3255171&47.6141034,-122.3255178&47.6141886,0.998830489734944
-122.32551682824823&47.614088997155925,-122.3255171&47.6141034,0.851952801968311
-122.3252735&47.6189355,-122.3252569&47.6189543,0.9992903296009
-122.3242656&47.6195737,-122.3241331&47.6196251,0.997527376843365
-122.3239973&47.6196723,-122.323817&47.6197272,0.999738809680904
-122.3234436&47.6198151,-122.3233182&47.6198373,0.989013057369407
-122.3268789&47.6129389,-122.326843&47.6130788,0.991422514586288
-122.32682145645877&47.61409208693269,-122.3268213&47.614102,0.991422514586288
-122.3253012&47.6177485,-122.3252789&47.6184985,0.962673112655871
-122.3267787&47.6171377,-122.3268127&47.6171148,0.14804719803169
-122.3195328&47.6187537,-122.3182109&47.6187653,0.998498817743263
-122.32083&47.615259,-122.3208299&47.6162005,0.999964643749258
-122.32679&47.6163559,-122.3267894&47.6164003,0.002472623156635
-122.3268033&47.6152241,-122.326802&47.6153358,0.119202922022118
-122.3221995&47.618746,-122.3222157&47.6199035,0.99992515377249
-122.3221184&47.6129788,-122.3221126&47.6130585,0.952574126822433
-122.32212795370549&47.61405915057779,-122.3221283&47.6140814,0.952574126822433
-122.3221635&47.6163962,-122.3221741&47.6170883,0.268941421369995
-122.322146&47.6152491,-122.3221566&47.6159421,0.880797077977882
-122.3221815&47.6175767,-122.3221841&47.6177409,0.999447221363076
-122.3221283&47.6140814,-122.3221294&47.6141519,0.999664649869534
-122.3182109&47.6187653,-122.316908&47.6187742,0.977022630089974
-122.3200516&47.6175868,-122.3207623&47.6175847,0.998498817743263
-122.3208155&47.6129732,-122.32082833402278&47.614076136172024,0.996827317157515
-122.3208285&47.6140904,-122.3208231&47.6143025,0.999997739675702
-122.32082833402278&47.614076136172024,-122.3208285&47.6140904,0.998498817743263
-122.3208446&47.6180593,-122.3208447&47.6180795,0.119202922022118
-122.3208427&47.6175845,-122.3208433&47.6177365,0.924141819978757
-122.3194812&47.6152633,-122.319093&47.6152654,0.989013057369407
-122.32083&47.615259,-122.3208051&47.615259,0.999964643749258
-122.3267366&47.6184953,-122.3265242&47.6184955,0.731058578630005
-122.325639&47.6184961,-122.3252789&47.6184985,0.998830489734944
-122.3270679&47.6169908,-122.3277756&47.6167014,0.029312230751356
-122.3208473&47.61875,-122.3208608&47.6192395,0.999447221363076
-122.3208676&47.6196499,-122.3208739&47.6199123,0.904650535100891
-122.3208246&47.6150562,-122.32083&47.615259,0.999664649869534
-122.3208465&47.6185489,-122.3208473&47.61875,0.985936372956754
-122.3212243&47.6152553,-122.3208567&47.6152592,0.9992903296009
-122.3194548&47.6140957,-122.318927&47.6140978,0.622459331201855
-122.3278818&47.6184996,-122.3277701&47.618501,0.679178699175393
-122.3195328&47.6187537,-122.3200547&47.6187522,0.993307149075715
-122.3262525&47.6177405,-122.3258531&47.6182324,0.999876605424014
-122.3267787&47.6171377,-122.3266932&47.6172155,0.989013057369407
-122.3268033&47.6152241,-122.3269455&47.6152242,0.880797077977882
-122.3268213&47.614102,-122.3268196&47.6142063,0.993307149075715
-122.3267649&47.6177467,-122.32677&47.6173683,0.005220125693558
-122.3267366&47.6184953,-122.3267649&47.6177467,0.047425873177567
-122.32747495032794&47.61406478901449,-122.3274414&47.6140741,0.268941421369995
-122.3230638&47.619872,-122.3229544&47.6198827,0.989013057369407
-122.3272104&47.6141011,-122.3268213&47.614102,0.977022630089974
-122.3268213&47.614102,-122.3261797&47.6141027,0.999569442918675
-122.3261797&47.6141027,-122.3255171&47.6141034,0.991422514586288
-122.3244585&47.6141046,-122.3235168&47.6141056,0.996827317157515
-122.3255171&47.6141034,-122.3244585&47.6141046,0.985936372956754
-122.3208285&47.6140904,-122.3207824&47.6140905,0.998498817743263
-122.3181951&47.6176072,-122.3182109&47.6187653,0.985936372956754
-122.325639&47.6184961,-122.3253709&47.6188395,0.9992903296009
-122.3200547&47.6187522,-122.3208473&47.61875,0.999447221363076
-122.3215406&47.6187479,-122.3208473&47.61875,0.994779874306441
-122.3208451&47.6181912,-122.3208465&47.6185489,0.851952801968311
